"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"8600000US91790","ZCTA5 91790","414100","null","6610","null",
"8600000US91791","ZCTA5 91791","487600","null","12429","null",
"8600000US91792","ZCTA5 91792","398800","null","12088","null",
"8600000US91801","ZCTA5 91801","501400","null","16412","null",
"8600000US91803","ZCTA5 91803","539400","null","16806","null",
"8600000US91901","ZCTA5 91901","486800","null","20316","null",
"8600000US91902","ZCTA5 91902","576500","null","19104","null",
"8600000US91905","ZCTA5 91905","277400","null","24610","null",
"8600000US91906","ZCTA5 91906","182600","null","28885","null",
"8600000US91910","ZCTA5 91910","395700","null","9305","null",
"8600000US91911","ZCTA5 91911","333200","null","6645","null",
"8600000US91913","ZCTA5 91913","430200","null","14656","null",
"8600000US91914","ZCTA5 91914","537400","null","37510","null",
"8600000US91915","ZCTA5 91915","432700","null","16407","null",
"8600000US91916","ZCTA5 91916","306300","null","44964","null",
"8600000US91917","ZCTA5 91917","196800","null","131723","null",
"8600000US91931","ZCTA5 91931","-","-","**","**",
"8600000US91932","ZCTA5 91932","380900","null","18508","null",
"8600000US91934","ZCTA5 91934","125700","null","20883","null",
"8600000US91935","ZCTA5 91935","539300","null","40730","null",
"8600000US91941","ZCTA5 91941","537000","null","15630","null",
"8600000US91942","ZCTA5 91942","392400","null","13149","null",
"8600000US91945","ZCTA5 91945","346400","null","9671","null",
"8600000US91948","ZCTA5 91948","-","-","**","**",
"8600000US91950","ZCTA5 91950","317300","null","9975","null",
"8600000US91962","ZCTA5 91962","366400","null","27082","null",
"8600000US91963","ZCTA5 91963","170800","null","93862","null",
"8600000US91977","ZCTA5 91977","342900","null","7213","null",
"8600000US91978","ZCTA5 91978","392200","null","31399","null",
"8600000US91980","ZCTA5 91980","-","-","**","**",
"8600000US92003","ZCTA5 92003","504200","null","74880","null",
"8600000US92004","ZCTA5 92004","164200","null","28448","null",
"8600000US92007","ZCTA5 92007","877700","null","71870","null",
"8600000US92008","ZCTA5 92008","658000","null","21413","null",
"8600000US92009","ZCTA5 92009","742000","null","24845","null",
"8600000US92010","ZCTA5 92010","549700","null","21629","null",
"8600000US92011","ZCTA5 92011","699900","null","28690","null",
"8600000US92014","ZCTA5 92014","1354100","null","126224","null",
"8600000US92019","ZCTA5 92019","440000","null","15506","null",
"8600000US92020","ZCTA5 92020","446400","null","17105","null",
"8600000US92021","ZCTA5 92021","328300","null","13829","null",
"8600000US92024","ZCTA5 92024","812800","null","19589","null",
"8600000US92025","ZCTA5 92025","448400","null","19094","null",
"8600000US92026","ZCTA5 92026","404800","null","11672","null",
"8600000US92027","ZCTA5 92027","355200","null","7618","null",
"8600000US92028","ZCTA5 92028","463100","null","12263","null",
"8600000US92029","ZCTA5 92029","510500","null","31708","null",
"8600000US92036","ZCTA5 92036","282800","null","40839","null",
"8600000US92037","ZCTA5 92037","1182500","null","42360","null",
"8600000US92040","ZCTA5 92040","376200","null","12325","null",
"8600000US92054","ZCTA5 92054","459500","null","24894","null",
"8600000US92055","ZCTA5 92055","-","-","**","**",
"8600000US92056","ZCTA5 92056","392100","null","8341","null",
"8600000US92057","ZCTA5 92057","375700","null","9678","null",
"8600000US92058","ZCTA5 92058","316900","null","16810","null",
"8600000US92059","ZCTA5 92059","306400","null","96571","null",
"8600000US92060","ZCTA5 92060","275000","null","145823","null",
"8600000US92061","ZCTA5 92061","353700","null","61222","null",
"8600000US92064","ZCTA5 92064","583700","null","14109","null",
"8600000US92065","ZCTA5 92065","414300","null","11943","null",
"8600000US92066","ZCTA5 92066","361400","null","71771","null",
"8600000US92067","ZCTA5 92067","2,000,000+","2,000,000+","***","***",
"8600000US92069","ZCTA5 92069","415500","null","8939","null",
"8600000US92070","ZCTA5 92070","383300","null","54165","null",
"8600000US92071","ZCTA5 92071","362900","null","7288","null",
"8600000US92075","ZCTA5 92075","1053600","null","46627","null",
"8600000US92078","ZCTA5 92078","432600","null","19871","null",
"8600000US92081","ZCTA5 92081","433800","null","16577","null",
"8600000US92082","ZCTA5 92082","459900","null","17350","null",
"8600000US92083","ZCTA5 92083","341000","null","10290","null",
"8600000US92084","ZCTA5 92084","435500","null","11192","null",
"8600000US92086","ZCTA5 92086","150000","null","27579","null",
"8600000US92091","ZCTA5 92091","974400","null","101072","null",
"8600000US92101","ZCTA5 92101","485500","null","35186","null",
"8600000US92102","ZCTA5 92102","325200","null","22159","null",
"8600000US92103","ZCTA5 92103","637600","null","31657","null",
"8600000US92104","ZCTA5 92104","496900","null","27374","null",
"8600000US92105","ZCTA5 92105","295400","null","9699","null",
"8600000US92106","ZCTA5 92106","856200","null","31358","null",
"8600000US92107","ZCTA5 92107","745600","null","32199","null",
"8600000US92108","ZCTA5 92108","299400","null","33040","null",
"8600000US92109","ZCTA5 92109","740300","null","35727","null",
"8600000US92110","ZCTA5 92110","516400","null","26430","null",
"8600000US92111","ZCTA5 92111","434000","null","9468","null",
"8600000US92113","ZCTA5 92113","284000","null","15059","null",
"8600000US92114","ZCTA5 92114","324200","null","5915","null",
"8600000US92115","ZCTA5 92115","413000","null","16269","null",
"8600000US92116","ZCTA5 92116","529600","null","29000","null",
"8600000US92117","ZCTA5 92117","503700","null","18201","null",
"8600000US92118","ZCTA5 92118","1332500","null","102645","null",
"8600000US92119","ZCTA5 92119","470900","null","10853","null",
"8600000US92120","ZCTA5 92120","522500","null","15765","null",
"8600000US92121","ZCTA5 92121","694300","null","72021","null",
"8600000US92122","ZCTA5 92122","628800","null","15333","null",
"8600000US92123","ZCTA5 92123","442800","null","8279","null",
"8600000US92124","ZCTA5 92124","543400","null","17756","null",
"8600000US92126","ZCTA5 92126","434900","null","7796","null",
"8600000US92127","ZCTA5 92127","670600","null","29344","null",
"8600000US92128","ZCTA5 92128","545900","null","15388","null",
"8600000US92129","ZCTA5 92129","621000","null","8456","null",
"8600000US92130","ZCTA5 92130","890000","null","21025","null",
"8600000US92131","ZCTA5 92131","660500","null","14326","null",
"8600000US92132","ZCTA5 92132","-","-","**","**",
"8600000US92134","ZCTA5 92134","-","-","**","**",
"8600000US92135","ZCTA5 92135","-","-","**","**",
"8600000US92139","ZCTA5 92139","316600","null","8798","null",
"8600000US92140","ZCTA5 92140","-","-","**","**",
"8600000US92145","ZCTA5 92145","1239700","null","90991","null",
"8600000US92147","ZCTA5 92147","-","-","**","**",
"8600000US92154","ZCTA5 92154","321300","null","7248","null",
"8600000US92155","ZCTA5 92155","-","-","**","**",
"8600000US92173","ZCTA5 92173","314300","null","13095","null",
"8600000US92201","ZCTA5 92201","194100","null","9155","null",
"8600000US92203","ZCTA5 92203","292600","null","9780","null",
"8600000US92210","ZCTA5 92210","658800","null","37817","null",
"8600000US92211","ZCTA5 92211","342300","null","9466","null",
"8600000US92220","ZCTA5 92220","180700","null","8407","null",
"8600000US92222","ZCTA5 92222","-","-","**","**",
"8600000US92223","ZCTA5 92223","244000","null","8484","null",
"8600000US92225","ZCTA5 92225","125200","null","11117","null",
"8600000US92227","ZCTA5 92227","151000","null","10538","null",
"8600000US92230","ZCTA5 92230","132700","null","46611","null",
"8600000US92231","ZCTA5 92231","165300","null","6333","null",
"8600000US92233","ZCTA5 92233","96600","null","16257","null",
"8600000US92234","ZCTA5 92234","203700","null","8526","null",
"8600000US92236","ZCTA5 92236","161600","null","4007","null",
"8600000US92239","ZCTA5 92239","109400","null","89559","null",
"8600000US92240","ZCTA5 92240","140400","null","8208","null",
"8600000US92241","ZCTA5 92241","59200","null","10923","null",
"8600000US92242","ZCTA5 92242","58800","null","15716","null",
"8600000US92243","ZCTA5 92243","163700","null","5693","null",
"8600000US92249","ZCTA5 92249","170400","null","13142","null",
"8600000US92250","ZCTA5 92250","162800","null","11408","null",
"8600000US92251","ZCTA5 92251","193800","null","8525","null",
"8600000US92252","ZCTA5 92252","117900","null","6901","null",
"8600000US92253","ZCTA5 92253","360900","null","13814","null",
"8600000US92254","ZCTA5 92254","97700","null","21513","null",
"8600000US92256","ZCTA5 92256","108900","null","16104","null",
"8600000US92257","ZCTA5 92257","48900","null","14550","null",
"8600000US92258","ZCTA5 92258","-","-","**","**",
"8600000US92259","ZCTA5 92259","-","-","**","**",
"8600000US92260","ZCTA5 92260","304500","null","17274","null",
"8600000US92262","ZCTA5 92262","320800","null","13436","null",
"8600000US92264","ZCTA5 92264","278700","null","14495","null",
"8600000US92266","ZCTA5 92266","-","-","**","**",
"8600000US92267","ZCTA5 92267","-","-","**","**",
"8600000US92268","ZCTA5 92268","207200","null","60490","null",
"8600000US92270","ZCTA5 92270","471300","null","17365","null",
"8600000US92273","ZCTA5 92273","100600","null","33381","null",
"8600000US92274","ZCTA5 92274","62100","null","11921","null",
"8600000US92275","ZCTA5 92275","94000","null","21495","null",
"8600000US92276","ZCTA5 92276","152500","null","14478","null",
"8600000US92277","ZCTA5 92277","117300","null","7075","null",
"8600000US92278","ZCTA5 92278","-","-","**","**",
"8600000US92280","ZCTA5 92280","-","-","**","**",
"8600000US92281","ZCTA5 92281","115600","null","17163","null",
"8600000US92282","ZCTA5 92282","126000","null","23593","null",
"8600000US92283","ZCTA5 92283","77100","null","14230","null",
"8600000US92284","ZCTA5 92284","139900","null","16452","null",
"8600000US92285","ZCTA5 92285","83400","null","14977","null",
"8600000US92301","ZCTA5 92301","127400","null","10396","null",
"8600000US92304","ZCTA5 92304","-","-","**","**",
"8600000US92305","ZCTA5 92305","263500","null","60873","null",
"8600000US92307","ZCTA5 92307","205500","null","10977","null",
"8600000US92308","ZCTA5 92308","182200","null","8819","null",
"8600000US92309","ZCTA5 92309","21900","null","7172","null",
"8600000US92310","ZCTA5 92310","-","-","**","**",
"8600000US92311","ZCTA5 92311","102000","null","7366","null",
"8600000US92313","ZCTA5 92313","250500","null","11403","null",
"8600000US92314","ZCTA5 92314","237600","null","17837","null",
"8600000US92315","ZCTA5 92315","382300","null","24568","null",
"8600000US92316","ZCTA5 92316","214700","null","9091","null",
"8600000US92320","ZCTA5 92320","168200","null","10868","null",
"8600000US92321","ZCTA5 92321","285200","null","64938","null",
"8600000US92322","ZCTA5 92322","170700","null","45496","null",
"8600000US92324","ZCTA5 92324","190600","null","7696","null",
"8600000US92325","ZCTA5 92325","193800","null","25102","null",
"8600000US92327","ZCTA5 92327","115200","null","29997","null",
"8600000US92328","ZCTA5 92328","-","-","**","**",
"8600000US92332","ZCTA5 92332","-","-","**","**",
"8600000US92333","ZCTA5 92333","370000","null","96611","null",
"8600000US92335","ZCTA5 92335","224400","null","7326","null",
"8600000US92336","ZCTA5 92336","331100","null","6286","null",
"8600000US92337","ZCTA5 92337","277200","null","7570","null",
"8600000US92338","ZCTA5 92338","-","-","**","**",
"8600000US92339","ZCTA5 92339","229300","null","38236","null",
"8600000US92341","ZCTA5 92341","194900","null","113561","null",
"8600000US92342","ZCTA5 92342","214200","null","12884","null",
"8600000US92344","ZCTA5 92344","256500","null","22287","null",
"8600000US92345","ZCTA5 92345","168400","null","4104","null",
"8600000US92346","ZCTA5 92346","262900","null","6615","null",
"8600000US92347","ZCTA5 92347","122100","null","102134","null",
"8600000US92352","ZCTA5 92352","348000","null","21699","null",
"8600000US92354","ZCTA5 92354","299400","null","23340","null",
"8600000US92356","ZCTA5 92356","105200","null","17853","null",
"8600000US92358","ZCTA5 92358","216200","null","114791","null",
"8600000US92359","ZCTA5 92359","230900","null","19539","null",
"8600000US92363","ZCTA5 92363","84200","null","7957","null",
"8600000US92364","ZCTA5 92364","-","-","**","**",
"8600000US92365","ZCTA5 92365","112500","null","28924","null",
"8600000US92368","ZCTA5 92368","120500","null","56037","null",
"8600000US92371","ZCTA5 92371","160200","null","26922","null",
"8600000US92372","ZCTA5 92372","173500","null","32040","null",
"8600000US92373","ZCTA5 92373","396800","null","17687","null",
"8600000US92374","ZCTA5 92374","277400","null","10276","null",
"8600000US92376","ZCTA5 92376","210200","null","6458","null",
"8600000US92377","ZCTA5 92377","295900","null","11368","null",
"8600000US92378","ZCTA5 92378","216200","null","69174","null",
"8600000US92382","ZCTA5 92382","193000","null","20980","null",
"8600000US92384","ZCTA5 92384","-","-","**","**",
"8600000US92385","ZCTA5 92385","320800","null","102553","null",
"8600000US92386","ZCTA5 92386","152100","null","28318","null",
"8600000US92389","ZCTA5 92389","65600","null","8459","null",
"8600000US92391","ZCTA5 92391","256500","null","57926","null",
"8600000US92392","ZCTA5 92392","166500","null","6822","null",
"8600000US92394","ZCTA5 92394","167700","null","8779","null",
"8600000US92395","ZCTA5 92395","157500","null","6986","null",
"8600000US92397","ZCTA5 92397","262300","null","20324","null",
"8600000US92398","ZCTA5 92398","93800","null","15255","null",
"8600000US92399","ZCTA5 92399","246500","null","12577","null",
"8600000US92401","ZCTA5 92401","-","-","**","**",
"8600000US92404","ZCTA5 92404","193000","null","7506","null",
"8600000US92405","ZCTA5 92405","161300","null","8995","null",
"8600000US92407","ZCTA5 92407","242400","null","10371","null",
"8600000US92408","ZCTA5 92408","184300","null","13974","null",
"8600000US92410","ZCTA5 92410","99700","null","10752","null",
"8600000US92411","ZCTA5 92411","142400","null","12801","null",
"8600000US92501","ZCTA5 92501","231300","null","13294","null",
"8600000US92503","ZCTA5 92503","276800","null","7122","null",
"8600000US92504","ZCTA5 92504","264900","null","10128","null",
"8600000US92505","ZCTA5 92505","277500","null","8985","null",
"8600000US92506","ZCTA5 92506","366000","null","8946","null",
"8600000US92507","ZCTA5 92507","252400","null","11852","null",
"8600000US92508","ZCTA5 92508","383200","null","8016","null",
"8600000US92509","ZCTA5 92509","257300","null","7170","null",
"8600000US92518","ZCTA5 92518","285300","null","213520","null",
"8600000US92530","ZCTA5 92530","219300","null","8697","null",
"8600000US92532","ZCTA5 92532","307000","null","20273","null",
"8600000US92536","ZCTA5 92536","258000","null","21543","null",
"8600000US92539","ZCTA5 92539","158300","null","14517","null",
"8600000US92543","ZCTA5 92543","85400","null","6285","null",
