"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"8600000US95462","ZCTA5 95462","310300","62272","null","null",
"8600000US95463","ZCTA5 95463","-","**","**","-",
"8600000US95464","ZCTA5 95464","161500","69998","null","null",
"8600000US95465","ZCTA5 95465","635700","79544","null","null",
"8600000US95466","ZCTA5 95466","544100","264053","null","null",
"8600000US95467","ZCTA5 95467","195300","16260","null","null",
"8600000US95468","ZCTA5 95468","358500","29714","null","null",
"8600000US95469","ZCTA5 95469","428700","44564","null","null",
"8600000US95470","ZCTA5 95470","348500","33226","null","null",
"8600000US95471","ZCTA5 95471","-","**","**","-",
"8600000US95472","ZCTA5 95472","616700","16208","null","null",
"8600000US95476","ZCTA5 95476","494800","25276","null","null",
"8600000US95482","ZCTA5 95482","288600","13730","null","null",
"8600000US95485","ZCTA5 95485","172200","26066","null","null",
"8600000US95486","ZCTA5 95486","-","**","**","-",
"8600000US95488","ZCTA5 95488","373100","242032","null","null",
"8600000US95490","ZCTA5 95490","244400","30722","null","null",
"8600000US95492","ZCTA5 95492","388500","10800","null","null",
"8600000US95493","ZCTA5 95493","635400","454313","null","null",
"8600000US95494","ZCTA5 95494","801100","469592","null","null",
"8600000US95497","ZCTA5 95497","750000","82230","null","null",
"8600000US95501","ZCTA5 95501","248000","12915","null","null",
"8600000US95503","ZCTA5 95503","279900","12223","null","null",
"8600000US95511","ZCTA5 95511","156700","320277","null","null",
"8600000US95514","ZCTA5 95514","252500","370362","null","null",
"8600000US95519","ZCTA5 95519","304300","17086","null","null",
"8600000US95521","ZCTA5 95521","345100","14772","null","null",
"8600000US95524","ZCTA5 95524","432400","32073","null","null",
"8600000US95525","ZCTA5 95525","301800","41319","null","null",
"8600000US95526","ZCTA5 95526","109700","89425","null","null",
"8600000US95527","ZCTA5 95527","243800","102123","null","null",
"8600000US95528","ZCTA5 95528","329200","42486","null","null",
"8600000US95531","ZCTA5 95531","199700","19101","null","null",
"8600000US95536","ZCTA5 95536","358600","17153","null","null",
"8600000US95537","ZCTA5 95537","-","**","**","-",
"8600000US95540","ZCTA5 95540","271800","11448","null","null",
"8600000US95542","ZCTA5 95542","457300","123433","null","null",
"8600000US95543","ZCTA5 95543","137500","150525","null","null",
"8600000US95545","ZCTA5 95545","196400","291287","null","null",
"8600000US95546","ZCTA5 95546","120400","25738","null","null",
"8600000US95547","ZCTA5 95547","336900","31150","null","null",
"8600000US95548","ZCTA5 95548","120500","43963","null","null",
"8600000US95549","ZCTA5 95549","454400","49551","null","null",
"8600000US95550","ZCTA5 95550","172500","467770","null","null",
"8600000US95551","ZCTA5 95551","258800","55397","null","null",
"8600000US95552","ZCTA5 95552","239600","72541","null","null",
"8600000US95553","ZCTA5 95553","343300","58928","null","null",
"8600000US95554","ZCTA5 95554","290000","110016","null","null",
"8600000US95555","ZCTA5 95555","213200","45668","null","null",
"8600000US95556","ZCTA5 95556","226700","63969","null","null",
"8600000US95558","ZCTA5 95558","391700","108602","null","null",
"8600000US95559","ZCTA5 95559","-","**","**","-",
"8600000US95560","ZCTA5 95560","286600","79889","null","null",
"8600000US95562","ZCTA5 95562","217100","15319","null","null",
"8600000US95563","ZCTA5 95563","295300","175851","null","null",
"8600000US95564","ZCTA5 95564","197900","119927","null","null",
"8600000US95565","ZCTA5 95565","275000","157046","null","null",
"8600000US95567","ZCTA5 95567","234000","38514","null","null",
"8600000US95568","ZCTA5 95568","250000","132242","null","null",
"8600000US95569","ZCTA5 95569","258800","113654","null","null",
"8600000US95570","ZCTA5 95570","422000","34941","null","null",
"8600000US95571","ZCTA5 95571","-","**","**","-",
"8600000US95573","ZCTA5 95573","251600","38846","null","null",
"8600000US95585","ZCTA5 95585","461900","408049","null","null",
"8600000US95587","ZCTA5 95587","500000","136704","null","null",
"8600000US95589","ZCTA5 95589","320300","36360","null","null",
"8600000US95595","ZCTA5 95595","198600","50414","null","null",
"8600000US95601","ZCTA5 95601","164600","257951","null","null",
"8600000US95602","ZCTA5 95602","365100","12902","null","null",
"8600000US95603","ZCTA5 95603","339200","14002","null","null",
"8600000US95604","ZCTA5 95604","-","**","**","-",
"8600000US95605","ZCTA5 95605","164500","15670","null","null",
"8600000US95606","ZCTA5 95606","-","**","**","-",
"8600000US95607","ZCTA5 95607","371400","533655","null","null",
"8600000US95608","ZCTA5 95608","301000","8895","null","null",
"8600000US95610","ZCTA5 95610","215500","5520","null","null",
"8600000US95612","ZCTA5 95612","476100","116824","null","null",
"8600000US95614","ZCTA5 95614","308800","24613","null","null",
