ID,Year,Zipcode,Longitude,Latitude,Income,Age,Population,Num Rooms,House Value
226,2011,91344,-118.5,34.29,77642.0,40.9,53134,6.1,515000.0
227,2011,91345,-118.45,34.27,62518.0,37.1,18629,5.3,366100.0
228,2011,91350,-118.51,34.43,99876.0,35.1,32449,6.1,433600.0
229,2011,91351,-118.46,34.43,74649.0,35.2,31596,5.3,350600.0
230,2011,91352,-118.34,34.23,48632.0,32.4,46561,4.8,405900.0
231,2011,91354,-118.57,34.46,104574.0,37.0,28330,6.1,510800.0
232,2011,91355,-118.56,34.41,86721.0,36.8,32104,5.2,461400.0
233,2011,91356,-118.54,34.15,69875.0,41.8,29905,5.1,685300.0
234,2011,91360,-118.88,34.21,91105.0,41.2,42083,6.1,605500.0
235,2011,91361,-118.89,34.14,103466.0,46.8,20193,6.7,823500.0
236,2011,91362,-118.81,34.19,108435.0,42.1,35267,6.4,690700.0
237,2011,91364,-118.6,34.15,98206.0,42.6,25087,6.1,719600.0
238,2011,91367,-118.61,34.17,80291.0,40.7,39503,5.1,598900.0
239,2011,91371,-118.58,34.18,67521.99233323270,40.40193697600450,0,5.163962967276100,458794.97705720400
240,2011,91377,-118.76,34.19,128618.0,40.6,14045,6.5,674200.0
241,2011,91381,-118.61,34.37,112399.0,37.2,18597,6.1,631600.0
242,2011,91384,-118.68,34.51,98330.0,31.9,29617,6.1,451900.0
243,2011,91387,-118.4,34.4,83102.0,33.0,39991,5.4,420200.0
244,2011,91390,-118.4,34.53,113537.0,40.2,19348,6.6,544800.0
245,2011,91401,-118.43,34.17,47776.0,35.5,38600,4.2,570200.0
246,2011,91402,-118.44,34.22,41467.0,29.6,70676,4.2,340200.0
247,2011,91403,-118.46,34.14,76727.0,38.9,23551,4.4,768500.0
248,2011,91405,-118.44,34.2,37324.0,30.7,53395,3.7,396600.0
249,2011,91406,-118.49,34.19,50178.0,33.3,52955,4.5,425700.0
250,2011,91411,-118.46,34.17,43695.0,35.4,23520,3.7,486400.0
